"","Estimate","Std. Error","z value","Pr(>|z|)","comparison"
"GO:0010628_motif1169",-0.39885315610201,0.50252546105221,-0.793697408419612,0.427371609329822,"GO:0010628_motif1169"
"GO:0010951_motif1169",-0.841118693544482,0.529603671338425,-1.58820404590246,0.11224020653447,"GO:0010951_motif1169"
"GO:0010976_motif1169",1.68161740479813,0.387385779480799,4.3409373649491,1.41876165418114e-05,"GO:0010976_motif1169"
"GO:0015026_motif1169",0.516430455273685,0.43350644846204,1.19128667429478,0.23354106340092,"GO:0015026_motif1169"
"GO:0016020_motif1169",-0.0329954420087158,0.168488318707196,-0.195832223040081,0.844741488028283,"GO:0016020_motif1169"
"GO:0016021_motif1169",-0.223382531954104,0.185348441632032,-1.20520318372884,0.228124873633037,"GO:0016021_motif1169"
"GO:0016032_motif1169",0.291600493530997,0.280840419244624,1.03831383785608,0.299123968394722,"GO:0016032_motif1169"
"GO:0016323_motif1169",0.368520842970493,0.319233111075153,1.15439417211248,0.248338603393102,"GO:0016323_motif1169"
"GO:0016324_motif1169",-0.000870700964053244,0.295440668482484,-0.00294712629959022,0.997648536830781,"GO:0016324_motif1169"
"GO:0016486_motif1169",-0.700783973219512,0.471325549103689,-1.48683637997596,0.137058030482703,"GO:0016486_motif1169"
"GO:0016787_motif1169",-0.820014209081101,0.246404582431603,-3.32791785359235,0.000874976626490682,"GO:0016787_motif1169"
"GO:0018105_motif1169",1.68161740479814,0.387385779480799,4.3409373649491,1.41876165418115e-05,"GO:0018105_motif1169"
"GO:0018279_motif1169",0.455697179141117,0.439688862959879,1.03640828215087,0.300011708146983,"GO:0018279_motif1169"
"GO:0019216_motif1169",-0.532493096895013,0.521695525957988,-1.02069707405904,0.307397981209558,"GO:0019216_motif1169"
"GO:0019864_motif1169",0.455697179141117,0.439688862959879,1.03640828215087,0.300011708146983,"GO:0019864_motif1169"
"GO:0019865_motif1169",-1.19793876254731,0.610091755515363,-1.96353868367779,0.0495836141685555,"GO:0019865_motif1169"
"GO:0019898_motif1169",0.455697179141125,0.439688862959879,1.03640828215089,0.300011708146975,"GO:0019898_motif1169"
"GO:0019899_motif1169",-0.678069432542969,0.386664248212794,-1.75363881113158,0.0794924163219525,"GO:0019899_motif1169"
"GO:0019901_motif1169",-0.656444855807701,0.405611518111536,-1.61840782743056,0.105574736243251,"GO:0019901_motif1169"
"GO:0022617_motif1169",-17.4039934329002,920.911326578247,-0.0188986636721765,0.984921945586541,"GO:0022617_motif1169"
"GO:0030054_motif1169",1.37667402097687,0.38451020690411,3.58033153933984,0.000343158523589376,"GO:0030054_motif1169"
"GO:0030139_motif1169",-0.0816269602567397,0.442166442304134,-0.18460686394784,0.853537401831781,"GO:0030139_motif1169"
"GO:0030141_motif1169",-1.24680083787812,0.605567650619635,-2.05889604010774,0.039504198519962,"GO:0030141_motif1169"
"GO:0030168_motif1169",-1.04212501579264,0.51095885149276,-2.03954782806499,0.0413953829125437,"GO:0030168_motif1169"
"GO:0030198_motif1169",0.313528628666029,0.274932419679105,1.14038434984122,0.254126210072695,"GO:0030198_motif1169"
"GO:0030217_motif1169",-17.4040896934855,896.017383525314,-0.0194238304004889,0.984503000082677,"GO:0030217_motif1169"
"GO:0030218_motif1169",1.68161740479814,0.387385779480799,4.34093736494911,1.41876165418114e-05,"GO:0030218_motif1169"
"GO:0030295_motif1169",1.68161740479814,0.387385779480799,4.3409373649491,1.41876165418114e-05,"GO:0030295_motif1169"
"GO:0030307_motif1169",-0.0228434058111005,0.468569739213655,-0.0487513467033443,0.961117455740451,"GO:0030307_motif1169"
"GO:0030335_motif1169",0.206208203167098,0.254340452651631,0.81075660995831,0.41750545666962,"GO:0030335_motif1169"
"GO:0030665_motif1169",-0.404461689773755,0.379482011677603,-1.06582572382212,0.286502430229609,"GO:0030665_motif1169"
"GO:0030890_motif1169",-1.80417173174186,0.797918490231396,-2.26109778608922,0.023753202452565,"GO:0030890_motif1169"
"GO:0031012_motif1169",-0.536946325931081,0.287724317126851,-1.8661833358157,0.0620157197135859,"GO:0031012_motif1169"
"GO:0031093_motif1169",-0.435802220325846,0.342020425782839,-1.27419939709259,0.202592758838146,"GO:0031093_motif1169"
"GO:0031225_motif1169",0.596090861086914,0.358108400430212,1.6645542533233,0.0960017185983525,"GO:0031225_motif1169"
