InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
Q07666	P07948	mint, intact, Biogrid, Hprd	1	1	4	7516469, 9045636, 22745667, 15190072
P29353	P06241	mint, Hprd	1	1	12	7516469, 12237775, 11075717, 10764799, 9121430, 9446569, 10816433, 10896916, 10921922, 9741627, 9710204, 10482988
Q96CW1	Q15311	mint, Biogrid, Hprd	1	1	3	10910768, 26186194, 28514442
P19878	Q15080	mint, intact, Dip, Biogrid, Hprd	1	1	11	11483497, 12887891, 16782902, 16297854, 9490029, 11893732, 11796733, 9083043, 12813044, 10672014, 10486263
Q00526	Q16667	mint, intact, Hprd	1	1	2	8242750, 24218572
Q16667	P24941	mint, intact, Dip, Biogrid, Hprd	1	1	12	8242750, 11463386, 9840943, 25852190, 24218572, 15530371, 12745075, 8127873, 8242751, 26186194, 28514442, 7569954
P06493	Q16667	mint, intact, Biogrid, Hprd	1	1	4	8242750, 24218572, 8127873, 26186194
O14893	Q16637	mint, intact, Dip, Biogrid, Hprd	1	1	16	9323129, 11714716, 18984161, 19928837, 21816274, 21900206, unassigned1304, 23022347, 12668731, 10942426, 21300694, 23221635, 26908624, 26092730, 23112048, 11092763
P14678	Q16637	mint, intact, Dip, Biogrid, Hprd	1	1	8	9323129, 15494309, 21072240, 11720283, 16087681, 19928837, 10556282, 23112048
P62308	Q16637	mint, intact, Biogrid, Hprd	1	1	5	9323129, 19928837, 21816274, 10556282, 28514442
Q9NY12	Q16637	mint, Biogrid, Hprd	1	1	2	11509230, 12244096
Q16637	P22087	mint, intact, Biogrid, Hprd	1	1	3	11509230, 8670859, 19928837
Q16637	Q00839	mint, Hprd	1	1	1	8670859
Q16637	Q16637	mint, intact, Dip, Biogrid, Hprd	1	1	14	8670859, 16189514, 14715275, 19447967, 19928837, 21516116, 22365833, 25416956, unassigned1304, 23022347, 21300694, 10942426, 26186194, 28514442
P42574	P55211	mint, intact, Dip, Biogrid, Hprd	1	1	9	11230124, 25241761, 18723680, 15941357, 15507451, 17437405, 11242052, 1067155, 8900201
Q9Y239	P55211	mint, Biogrid, Hprd	2	2	1	10329646
Q9Y239	O43353	mint, Biogrid, Hprd	1	1	5	10329646, 16517750, 23300079, 12459189, 10224040
P57678	Q9UHI6	mint, intact, Biogrid, Hprd	1	1	7	10725331, 11714716, 23752268, unassigned1304, 12668731, 11914277, 28514442
P14678	P57678	mint, intact, Biogrid, Hprd	1	1	2	10725331, 17353931
O15061	Q9Y4J8	mint, Biogrid, Hprd	1	1	1	11353857
Q9NQS1	O14727	mint, Biogrid, Hprd	1	1	1	10949025
Q9H074	P11940	mint, intact, Biogrid, Hprd	1	1	7	9548260, 11997512, 14685257, 24396066, 11051545, 11287654, 25266661
P23588	P23588	mint, Biogrid, Hprd	1	1	1	8816444
Q14152	P23588	mint, Biogrid, Hprd	1	1	2	8816444, 16763566
Q04637	P04792	mint, Hprd	1	1	1	10859165
Q9BUB5	P06730	mint, Biogrid, Hprd	2	2	3	9878069, 10022874, 9155017
Q04637	Q9BUB5	mint, Biogrid, Hprd	1	1	2	9878069, 15234964
P08069	P41240	mint, Biogrid, Hprd	1	1	1	10026153
P63104	P04049	mint, intact, Dip, Biogrid, Hprd	1	1	25	10887173, 9153224, 16306228, 17979178, 14688280, 20052757, 11697890, 20679480, 19049963, 7935795, 7939632, 8085158, 8601312, 25852190, 9261098, 7628630, 10620507, 10611249, 22222486, 9632690, 15664191, 16041367, 16093354, 12861023, 12360521
